,SPY US Equity,IWM US Equity,QQQ US Equity,VGK US Equity,EWJ US Equity,EEM US Equity,EFA US Equity,ACWX US Equity,IYR US Equity,GSG US Equity,GLD US Equity,SHY US Equity,IEF US Equity,TLT US Equity,LQD US Equity,HYG US Equity,AGG US Equity
2008-03-31,131.97,68.29,43.72,68.79,49.48,44.7933,71.9,50.29,65.1,57.86,90.41,84.2352,91.69,95.89,105.2,96.6647,102.68
2008-04-30,138.26,71.4,47.21,71.61,53.12,48.8867,75.81,54.44,68.88,62.6,86.65,83.36,89.17,93.115,105.99,99.29,102.6
2008-05-30,140.35,74.67,50.01,72.09,54.16,50.4333,76.71,54.87,69.44,67.9,87.45,82.91,87.31,90.28,103.2,98.22,100.98
2008-06-30,127.98,69.05,45.17,65.61,49.88,45.24,68.67,50.24,60.8,74.91,91.4,82.89,88.0,92.34,101.4,94.0,100.4
2008-07-31,126.83,71.32,45.46,63.72,48.0,42.75,66.39,48.33,62.3,64.93,90.08,83.03,88.34,91.67,101.36,93.9,100.41
2008-08-29,128.79,73.87,46.12,61.27,45.64,40.05,63.57,45.952,63.43,60.07,81.71,83.15,89.38,93.84,101.04,92.4,100.75
2008-09-30,115.99,68.0,38.91,53.37,42.64,34.17,56.3,39.91,61.95,53.8,85.07,83.56,88.96,94.88,89.79,82.0,98.59
2008-10-31,96.83,53.75,32.89,41.72,36.0,25.43,44.57,30.73,42.55,37.84,71.34,84.2,87.89,92.83,87.65,72.0,95.96
2008-11-28,90.09,47.34,29.12,38.64,34.64,22.95,41.73,28.575,33.38,32.21,80.31,84.8,94.36,105.72,90.14,66.25,98.45
2008-12-31,90.24,49.24,29.74,38.36,38.32,24.97,44.86,30.72,37.23,28.61,86.52,84.658,98.53,119.35,101.65,76.01,104.2
2009-01-30,82.83,44.48,29.06,33.05,33.72,22.65,38.7,26.6,31.34,25.65,91.31,84.29,94.7,103.75,99.82,75.24,102.13
2009-02-27,73.93,39.15,27.53,29.62,29.48,21.23,34.68,24.04,25.14,24.08,92.63,84.03,93.74,101.88,94.16,67.25,100.69
2009-03-31,79.52,42.05,30.32,31.9,31.6,24.81,37.59,26.55,25.46,25.18,90.28,84.32,96.59,105.71,94.12,67.8,101.47
2009-04-30,87.42,48.52,34.28,36.1,34.04,28.67,41.92,30.19,33.0,24.79,87.27,84.04,93.67,98.08,96.2,76.27,101.64
2009-05-29,92.53,50.17,35.38,41.25,37.48,33.24,47.45,34.49,33.75,30.12,96.2,83.92,91.45,94.17,97.95,77.835,102.03
2009-06-30,91.95,51.08,36.38,40.28,37.72,32.23,45.81,33.21,32.42,30.05,91.18,83.71,90.67,94.57,100.28,79.71,102.15
2009-07-31,98.81,55.57,39.45,44.85,39.48,35.78,50.41,36.8,35.85,30.27,93.35,83.69,91.17,94.81,104.46,84.45,103.1
2009-08-31,102.46,57.2,40.03,47.31,40.88,35.31,52.68,37.834,40.58,30.4,93.4,83.92,91.6,96.6,105.33,82.32,104.02
2009-09-30,105.59,60.24,42.25,49.59,39.76,38.91,54.68,39.87,42.67,29.68,98.85,84.01,92.37,98.66,106.68,86.35,104.92
